City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Sitka,0,US,1545694991,64,37.17,-99.65,39.27,4.25
Port-Gentil,40,GA,1545692400,94,-0.72,8.78,80.6,6.93
Borogontsy,56,RU,1545694993,68,62.67,131.17,-23.11,4.92
Sioux Lookout,90,CA,1545692400,85,50.1,-91.92,14.74,3.36
Kedougou,0,SN,1545694994,48,12.56,-12.19,64.65,3.91
San Lorenzo,75,PY,1545692400,69,-25.34,-57.51,82.4,3.36
Khorixas,0,NA,1545694996,66,-20.37,14.96,67.71,3.47
Molochnoye,92,UA,1545694996,96,44.91,34.04,45.97,18.45
Santo Domingo,75,DO,1545692400,88,18.48,-69.94,78.87,2.57
Khani,40,GE,1545692400,93,41.96,42.96,41,13.87
Coxim,32,BR,1545695000,94,-18.5,-54.75,73.65,4.25
Glendive,1,US,1545693300,69,47.11,-104.71,29.16,10.29
Prince Rupert,90,CA,1545693060,93,54.32,-130.32,41,5.82
Adrar,0,DZ,1545692400,43,27.87,-0.29,51.8,18.34
Yerbogachen,0,RU,1545695002,0,61.28,108.01,-44.57,4.47
San Isidro,92,PH,1545695004,100,16.74,121.63,71.85,3.69
Utinga,40,BR,1545692400,83,-5.82,-35.4,78.8,5.82
Abhar,64,IR,1545695006,86,36.14,49.22,26.76,6.49
Minab,0,IR,1545695006,89,27.15,57.07,55.11,2.35
Yulara,0,AU,1545692400,9,-25.24,130.99,86,8.05
Plettenberg Bay,12,ZA,1545695008,100,-34.05,23.37,65.5,1.57
Batagay-Alyta,0,RU,1545695010,0,67.8,130.41,-49.84,2.57
Anupgarh,0,IN,1545695011,84,29.19,73.21,42.96,2.91
Maceio,20,BR,1545692400,88,-9.67,-35.74,75.2,8.05
Belmonte,64,PT,1545695012,88,40.36,-7.35,35.49,3.02
Leningradskiy,44,RU,1545695013,100,69.38,178.42,-5.42,4.59
Sayyan,0,YE,1545695014,72,15.17,44.32,24.96,1.9
Butembo,0,CD,1545695016,94,0.12,29.29,57,1.9
Nanton,36,CA,1545695016,58,50.35,-113.77,24.1,1.9
Talnakh,64,RU,1545695017,69,69.49,88.39,-15.55,20.24
Biu,8,NG,1545695018,39,10.61,12.19,60.06,6.93
Alyangula,40,AU,1545692400,74,-13.85,136.42,87.8,3.36
Kirkuk,80,IQ,1545695021,95,35.47,44.4,41.83,3.13
Straumen,75,NO,1545693600,93,63.87,11.3,39.2,23.04
Warrington,90,GB,1545693600,86,53.39,-2.59,38.55,3.36
Emerald,0,AU,1545692400,42,-23.53,148.16,80.6,13.87
Sao Jose da Coroa Grande,92,BR,1545695024,90,-8.9,-35.15,76.57,6.38
Jardim,64,BR,1545695026,88,-21.48,-56.15,78.37,2.13
Worland,40,US,1545692100,68,44.02,-107.96,30.29,9.17
Nanyamba,80,MZ,1545695028,100,-10.69,39.81,71.49,3.02
Mmathubudukwane,75,BW,1545692400,36,-24.61,26.43,80.6,17.22
Geraldton,75,CA,1545692400,76,49.72,-86.95,-5.81,2.46
Carinhanha,32,BR,1545695030,68,-14.3,-43.77,78.06,6.26
Lake City,40,US,1545692100,48,38.03,-107.32,32,2.57
Flin Flon,90,CA,1545692400,84,54.77,-101.88,1.4,9.17
Springfield,1,US,1545692100,43,37.22,-93.29,46.63,11.41
Marienburg,75,DE,1545693600,93,52.12,9.98,37.87,5.82
Lima,90,PE,1545692400,78,-12.06,-77.04,71.6,9.17
Vinh,8,VN,1545695037,91,18.67,105.69,62.58,4.36
Noumea,75,NC,1545694200,78,-22.28,166.46,80.6,13.87
Sola,90,FI,1545693600,85,62.78,29.36,10.4,4.7
Kahului,40,US,1545692160,76,20.89,-156.47,75.58,11.41
Bethanien,0,NA,1545695041,20,-26.5,17.16,64.38,4.25
Amahai,48,ID,1545695041,100,-3.31,129,83.1,10.85
Garden City,90,US,1545692160,52,40.73,-73.63,41.13,6.93
Broome,0,GB,1545693960,100,52.47,1.45,31.71,4.7
Pa Daet,0,TH,1545692400,100,19.5,99.99,57.2,2.68
Fairbanks,8,US,1545692280,75,64.84,-147.72,-21.68,4.81
Olinda,75,EC,1545692400,74,-2.03,-79.75,82.4,5.82
Ahuimanu,90,US,1545693780,79,21.44,-157.84,79.36,12.75
Kudahuvadhoo,68,MV,1545695046,100,2.67,72.89,81.43,2.68
Pathein,0,MM,1545695048,94,16.78,94.73,69.37,3.91
Muros,0,ES,1545692400,100,42.77,-9.06,46.58,4.14
Beibei,90,CN,1545692400,93,29.83,106.43,44.6,2.24
Birjand,0,IR,1545692400,54,32.86,59.22,32,9.17
Auki,0,NG,1545695050,47,12.18,6.51,59.83,8.28
Mlyniv,68,UA,1545695051,92,50.51,25.61,24.55,11.18
Oum Hadjer,36,TD,1545695053,30,13.3,19.7,61.77,9.73
Iwanai,68,JP,1545695053,100,42.97,140.51,32.34,17.34
Camacha,20,PT,1545692400,77,33.08,-16.33,66.2,20.8
Wawa,0,NG,1545695055,44,9.9,4.41,65.91,9.4
Kloulklubed,90,PW,1545691920,94,7.04,134.26,77,8.05
Penzance,76,GB,1545691800,100,50.12,-5.53,51.8,6.93
Soe,90,EE,1545691800,100,57.91,26.05,23,4.7
Zolotukhino,68,RU,1545695060,89,52.08,36.38,20.37,8.05
Pravia,32,ES,1545692400,93,43.49,-6.11,48.2,3.36
Morondava,0,MG,1545695062,100,-20.3,44.28,72.3,3.24
Mahebourg,20,MU,1545692400,88,-20.41,57.7,77,3.36
Sunrise Manor,1,US,1545693300,20,36.21,-115.07,59.09,2.57
Abu Samrah,0,SY,1545695063,90,35.3,37.18,39.58,6.15
Isangel,32,VU,1545695064,98,-19.55,169.27,80.49,15.66
Nagato,20,JP,1545692400,93,34.35,131.14,39.2,3.36
Porto Novo,75,BR,1545692400,83,-23.68,-45.44,69.8,5.82
Benghazi,76,LY,1545695066,100,32.12,20.07,65.77,18.9
Torrington,1,US,1545693300,36,42.06,-104.18,41.77,3.36
Manaus,75,BR,1545692400,94,-3.13,-59.98,77,3.36
Kamogawa,20,JP,1545694200,41,35.13,140.08,42.8,6.93
Ostrovnoy,24,RU,1545695072,90,68.05,39.51,13.71,17.78
Puerto Baquerizo Moreno,75,EC,1545692400,78,-0.9,-89.6,80.6,13.87
San Juan,0,AR,1545695074,29,-31.54,-68.53,86.07,6.04
Sale,90,GB,1545693600,86,53.42,-2.32,37.99,3.36
Koryazhma,92,RU,1545695075,81,61.32,47.16,13.53,7.38
Cabra,48,ES,1545692400,93,37.47,-4.43,40.01,1.12
Kapit,20,MY,1545695076,91,2.02,112.94,75.4,2.68
Paita,32,PE,1545695076,61,-5.09,-81.11,76.12,9.28
Ponta Delgada,40,PT,1545692400,82,37.73,-25.67,57.2,9.17
Jishou,92,CN,1545695078,100,28.26,109.7,41.16,4.36
Mogoytuy,12,RU,1545695080,45,51.28,114.93,-16.54,17.34
Deputatskiy,0,RU,1545695081,0,69.3,139.9,-48.8,3.36
Savelugu,0,GH,1545695081,33,9.63,-0.83,69.51,9.17
Antofagasta,40,CL,1545692400,72,-23.65,-70.4,64.4,11.41
Mehamn,64,NO,1545695082,100,71.03,27.85,12.13,5.26
Mount Isa,0,AU,1545692400,31,-20.73,139.49,91.4,11.41
Batemans Bay,0,AU,1545695083,59,-35.71,150.18,80.17,1.79
Santa Cruz,90,US,1545693060,100,36.97,-122.03,56.86,2.57
Napier,88,NZ,1545695057,100,-39.49,176.92,64.65,16.78
Touros,40,BR,1545692400,83,-5.2,-35.46,78.8,5.82
Kapasan,0,IN,1545695086,84,24.95,74.23,47.73,5.37
Mankera,0,NG,1545695087,44,13.01,5.07,57.9,7.38
Baghdad,90,IQ,1545694200,100,33.3,44.38,48.2,3.36
Poum,92,MK,1545695088,99,41.28,20.71,32.02,1.9
Dothan,1,US,1545693300,63,31.22,-85.39,50.65,3.36
Cidreira,64,BR,1545695091,79,-30.17,-50.22,70.59,13.65
Itacare,76,BR,1545695091,90,-14.28,-39,79.77,8.95
Bahia Blanca,20,AR,1545695092,32,-38.72,-62.27,92.1,18.23
Burnie,36,AU,1545695093,94,-41.05,145.91,63.97,9.84
Boa Vista,20,BR,1545692400,65,2.82,-60.67,82.4,10.29
Lovozero,20,RU,1545695095,67,68.01,35.02,-1.55,3.13
Avrille,90,FR,1545692400,93,47.5,-0.58,48.2,8.05
Price,1,US,1545691980,48,39.6,-110.81,39.92,4.7
Kurilsk,80,RU,1545695097,100,45.23,147.88,30.36,23.04
Pierre,1,US,1545691980,68,44.37,-100.35,30.92,4.7
Soyo,68,AO,1545695098,95,-6.13,12.37,76.08,1.79
Bonavista,12,CA,1545695098,100,48.65,-53.11,25.05,15.43
Qena,36,EG,1545695098,83,26.16,32.72,42.87,2.68
Mezen,88,RU,1545695098,74,65.85,44.24,8.35,7.16
Bosaso,24,SO,1545695099,100,11.28,49.18,75.63,12.64
Haileybury,1,CA,1545692400,91,47.44,-79.64,1.4,4.7
Zalantun,8,CN,1545695101,38,48,122.72,1.83,12.75
Hokitika,0,NZ,1545695101,70,-42.72,170.96,70.23,8.05
Talca,0,CL,1545692400,27,-35.43,-71.66,89.6,8.05
Santa Marta,20,CO,1545692400,55,11.24,-74.21,86,18.34
Goderich,76,CA,1545695105,89,43.74,-81.71,32.16,9.4
Ivanivka,90,UA,1545694200,93,46.98,30.46,35.6,24.61
Talaya,0,RU,1545694200,73,55.79,84.89,-32.81,4.47
Ishigaki,75,JP,1545692400,94,24.34,124.16,69.8,21.92
Shirwal,0,IN,1545695107,89,18.15,73.98,59.47,2.57
Astana,0,KZ,1545694200,66,51.13,71.43,-29.21,6.71
Taoudenni,0,ML,1545695107,36,22.68,-3.98,53.8,12.3
Obala,20,CM,1545692400,100,4.17,11.53,68,6.38
Maniago,0,IT,1545695109,66,46.17,12.71,22.57,1.34
Megion,0,RU,1545694200,67,61.04,76.11,-23.81,4.47
Kailua,90,US,1545693780,79,21.39,-157.74,79.38,12.75
Mina,56,PH,1545695111,89,10.93,122.57,77.47,3.69
Kitimat,90,CA,1545692400,100,54.02,-128.69,33.8,4.7
Chauk,0,MM,1545695113,98,20.89,94.82,57.18,5.7
Ambon,68,FR,1545692400,100,47.55,-2.56,48.85,3.36
Merauke,32,ID,1545695114,100,-8.49,140.4,80.94,6.6
Camacupa,44,AO,1545695115,95,-12.02,17.48,63.03,4.14
Apastovo,90,RU,1545694200,85,55.2,48.51,14,15.66
Weymouth,90,US,1545694500,100,42.22,-70.94,35.08,3.36
Saint-Pierre,0,FR,1545692400,86,48.95,4.24,33.71,5.82
Songea,88,TZ,1545695117,96,-10.68,35.65,63.66,0.67
Pucallpa,20,PE,1545692400,331,-8.38,-74.54,35.6,5.82
Rivne,76,UA,1545694951,91,50.62,26.25,24.06,13.76
